date,price,signal,returns,strategy_returns,equity_curve
2025-11-10,984.5,1,0.002239641657334923,-0.002791949404510552,0.6786023623797324
2025-11-11,991.7,1,0.007313357034027579,-0.0008974113717996612,0.6779933769028027
2025-11-12,989.5,1,-0.002218412826459626,0.004338968528280751,0.6809351688275669
2025-11-13,986.65,1,-0.0028802425467407966,0.002067708473293295,0.682343144245915
2025-11-14,989.6,1,0.00298991537019222,0.007444258688354299,0.6874226831259067
2025-11-17,996.55,1,0.007023039611964377,0.012227656642983753,0.6958282516637689
2025-11-18,992.45,1,-0.004114193969193658,0.0008001056397625161,0.6963849877722312
2025-11-19,994.6,1,0.0021663559877072025,0.0051848744539293445,0.6999956565054314
2025-11-20,1008.85,1,0.014327367786044709,0.02239248478671485,0.7156702985944956
2025-11-21,998.05,1,-0.01070525846260606,0.00869731095391657,0.7218947057218542
2025-11-24,999.15,1,0.0011021491909222192,0.002776420532874413,0.7238989890053937
2025-11-25,989.8,1,-0.009357954261121959,-0.002467339759053888,0.7221128842482818
2025-11-26,1003.9,1,0.01424530208122854,0.009611606334467448,0.7290535490207232
2025-11-27,1009.5,1,0.005578244845104052,0.0008624833935267917,0.7296823455997452
2025-11-28,1007.6,1,-0.0018821198613174772,0.009685621994815374,0.7367497729755146
2025-12-01,1002.1,1,-0.00545851528384278,0.0031249575200503754,0.7390520847189699
2025-12-02,989.8,1,-0.012274224129328437,0.00020868765184389737,0.7392063157631202
2025-12-03,1000.5,1,0.010810264699939509,-0.0032263497294451327,0.7368213776662538
2025-12-04,997.2,1,-0.003298350824587626,-0.01210294539913681,0.7279036687634424
2025-12-05,1003.3,1,0.0061171279582830085,-0.004103697579536325,0.7249165722398022
2025-12-08,1003.1,1,-0.00019934217083616979,0.0011554755334702849,0.7257541956028324
2025-12-09,997.1,1,-0.005981457481806451,0.0074482421809922705,0.7311597886155535
2025-12-10,989.8,1,-0.007321231571557618,-0.010683254090504857,0.7233486228130137
2025-12-11,1000.3,1,0.010608203677510586,0.003223300411593355,0.7256801927266524
2025-12-12,1001.5,1,0.0011996401079676922,-0.0016941874387219613,0.7244507544596056
2025-12-15,996.1,1,-0.0053919121318022345,-0.006886757399688026,0.7194616378656213
2025-12-16,994.3,1,-0.0018070474851923368,-0.0027123474030739114,0.7175102079605452
2025-12-17,984.0,1,-0.010359046565422858,-0.005750162396939151,0.7133844077433105
2025-12-18,979.7,1,-0.004369918699186903,-0.02072828477363664,0.698597172586535
